species,flower_color,flower_shape,pollination_guild,pollination_notes,mating_system,self_incompatibility,evidence_type,confidence
Paullinia cristata Radlk.,white,zygomorphic,bees,Sapindaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Pterocaulon lorentzii Malme,white,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Senega cyparissias (A.St.-Hil. & Moq.) J.F.B.Pastore & Agust.Martinez,white,zygomorphic,bees,Polygalaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Sinningia douglasii (Lindl.) Chautems,red,tubular,birds,Gesneriaceae hummingbird-pollinated.,obligate_outcrossing,likely_SI,inference,high
Vernonanthura tweediana (Baker) H.Rob.,purple,capitulum,bees,Asteraceae bee/generalist.,mixed_mating,likely_SC,inference,medium
Anathallis microphyta (Barb.Rodr.) C.O.Azevedo & Van den Berg,greenish,zygomorphic,flies,Pleurothallidinae orchid.,obligate_outcrossing,likely_SI,inference,high
Anemia raddiana Link,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Baccharis conyzoides (Less.) DC.,white,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Baccharis spicata (Lam.) Baill.,white,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Baccharis subtropicalis G.Heiden,white,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Campomanesia xanthocarpa (Mart.) O.Berg,white,actinomorphic,bees,Myrtaceae insect pollination.,obligate_outcrossing,likely_SI,inference,high
Chiropetalum anisotrichum (Müll.Arg.) Pax & K.Hoffm.,greenish,actinomorphic,flies,Euphorbiaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Commelina obliqua Vahl,blue,zygomorphic,bees,Commelinaceae bee pollination.,mixed_mating,likely_SC,inference,medium
Corymborkis flava (Sw.) Kuntze,yellow,zygomorphic,bees,Terrestrial orchid.,obligate_outcrossing,likely_SI,inference,high
Eryngium elegans Cham. & Schltdl.,white,actinomorphic,flies,Apiaceae generalist.,mixed_mating,likely_SC,inference,medium
Ficus arpazusa Casar.,greenish,syconium,fig_wasps,Obligate fig–wasp mutualism.,obligate_outcrossing,SI,inference,high
Ludwigia caparosa (Cambess.) H.Hara,yellow,actinomorphic,bees,Onagraceae bee pollination.,mixed_mating,likely_SC,inference,medium
Pecluma paradiseae (Langsd. & Fisch.) M.G.Price,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Polyphlebium angustatum (Carmich.) Ebihara & Dubuisson,none,none,unknown,Filmy fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Rhipsalis grandiflora Haw.,white,actinomorphic,moths,Cactaceae nocturnal insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Roupala pallida K.Schum.,cream,actinomorphic,bees,Proteaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Solanum pseudoquina A.St.-Hil.,purple,actinomorphic,bees,Solanaceae buzz pollination.,obligate_outcrossing,likely_SI,inference,high
Solanum sanctae-catharinae Dunal,purple,actinomorphic,bees,Solanaceae buzz pollination.,obligate_outcrossing,likely_SI,inference,high
Steinchisma decipiens (Nees ex Trin.) W.V.Br.,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Vanilla chamissonis Klotzsch,greenish,zygomorphic,bees,Vanilla bee pollination.,obligate_outcrossing,likely_SI,inference,high
Achyrocline (Less.) DC.,white,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,low
Acicarpha bonariensis (Pers.) Herter,greenish,actinomorphic,flies,Calyceraceae insect pollination.,mixed_mating,likely_SC,inference,medium
Andira fraxinifolia Benth.,purple,papilionaceous,bees,Fabaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Andropogon selloanus (Hack.) Hack.,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Asplenium oligophyllum Kaulf.,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Asplundia brachypus (Drude) Harling,greenish,actinomorphic,beetles,Cyclanthaceae beetle pollination.,obligate_outcrossing,likely_SI,inference,medium
Baccharis microdonta DC.,white,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Celosia grandifolia Moq.,pink,actinomorphic,bees,Amaranthaceae insect pollination.,mixed_mating,likely_SC,inference,medium
Eleocharis minima Kunth,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Eleocharis nana Kunth,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Epidendrum geniculatum Barb.Rodr.,greenish,zygomorphic,bees,Epidendrum generalist.,obligate_outcrossing,likely_SI,inference,medium
Galianthe laxa (Cham. & Schltdl.) E.L.Cabral,white,actinomorphic,bees,Rubiaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Heteropsis rigidifolia Engl.,greenish,spadix,beetles,Araceae beetle pollination.,obligate_outcrossing,likely_SI,inference,medium
Hymenophyllum caudiculatum Mart.,none,none,unknown,Filmy fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Justicia parabolica (Nees) Profice,purple,tubular,bees,Acanthaceae bee pollination.,mixed_mating,likely_SC,inference,medium
Lepismium cruciforme (Vell.) Miq.,white,actinomorphic,moths,Epiphytic cactus; nocturnal insects.,obligate_outcrossing,likely_SI,inference,medium
Maranta divaricata Roscoe,white,zygomorphic,bees,Marantaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Megalastrum connexum (Kaulf.) A.R.Sm. & R.C.Moran,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
"Mickelia scandens (Raddi) R.C.Moran, Labiak & Sundue",none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine,white,actinomorphic,bees,Myrtaceae insect pollination.,obligate_outcrossing,likely_SI,inference,high
Oxypetalum tubatum Malme,white,actinomorphic,bees,Apocynaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Peperomia nitida Dahlst.,greenish,spike,flies,Piperaceae insect pollination.,mixed_mating,likely_SC,inference,medium
Piper amplum (Kunth) Steud.,greenish,spike,flies,Piperaceae insect pollination.,mixed_mating,likely_SC,inference,medium
Rhipsalis neves-armondii K.Schum.,white,actinomorphic,moths,Cactaceae nocturnal insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Rudgea parquioides (Cham.) Müll.Arg.,white,actinomorphic,bees,Rubiaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Senecio platensis Arechav.,yellow,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Serpocaulon latipes (Langsd. & L.Fisch.) A.R.Sm.,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Asplenium harpeodes Kunze,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Bauhinia affinis Vogel,white,zygomorphic,bees,Fabaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Calamagrostis viridiflavescens (Poir.) Steud.,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Calea phyllolepis Baker,yellow,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Campylocentrum ornithorrhynchum (Lindl.) Rolfe,greenish,zygomorphic,flies,Leafless orchid.,obligate_outcrossing,likely_SI,inference,medium
Chromolaena ulei (Hieron.) R.M.King & H.Rob.,purple,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Coussarea contracta (Walp.) Benth. & Hook.f. ex Müll.Arg.,white,actinomorphic,bees,Rubiaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Croton lundianus (Didr.) Müll.Arg.,greenish,actinomorphic,flies,Euphorbiaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Cyperus mundulus Kunth,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Daphnopsis pseudosalix Domke,greenish,actinomorphic,flies,Thymelaeaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Dendropanax australis Fiaschi & Jung-Mend.,greenish,actinomorphic,flies,Araliaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Diodia saponariifolia (Cham. & Schltdl.) K.Schum.,white,actinomorphic,flies,Rubiaceae small generalist.,mixed_mating,likely_SC,inference,medium
Diospyros inconstans Jacq.,greenish,actinomorphic,flies,Ebenaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Eleocharis elongata Chapm.,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Epidendrum latilabrum Lindl.,greenish,zygomorphic,bees,Epidendrum generalist.,obligate_outcrossing,likely_SI,inference,medium
Eugenia speciosa Cambess.,white,actinomorphic,bees,Myrtaceae insect pollination.,obligate_outcrossing,likely_SI,inference,high
Forsteronia leptocarpa (Hook. & Arn.) A.DC.,white,actinomorphic,bees,Apocynaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Fuchsia regia subsp. serrae P.E.Berry,red,tubular,birds,Onagraceae hummingbird pollination.,obligate_outcrossing,likely_SI,inference,high
Geonoma schottiana Mart.,cream,actinomorphic,beetles,Arecaceae beetle pollination.,obligate_outcrossing,likely_SI,inference,medium
Gomesa praetexta (Rchb.f.) M.W.Chase & N.H.Williams,yellow,zygomorphic,bees,Oncidiinae orchid.,obligate_outcrossing,likely_SI,inference,high
Ilex theezans Mart.,greenish,actinomorphic,flies,Aquifoliaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Lantana undulata Schrank,pink,tubular,butterflies,Verbenaceae butterfly pollination.,mixed_mating,likely_SC,inference,medium
Lupinus multiflorus Desr.,blue,papilionaceous,bees,Fabaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Marcgravia polyantha Delpino,greenish,actinomorphic,birds,Marcgraviaceae bird pollination.,obligate_outcrossing,likely_SI,inference,high
Matourea ocymoides (Cham. & Schltdl.) Colletta & V.C.Souza,purple,tubular,bees,Lamiaceae bee pollination.,mixed_mating,likely_SC,inference,medium
Mollinedia clavigera Tul.,greenish,actinomorphic,flies,Monimiaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Mollinedia schottiana (Spreng.) Perkins,greenish,actinomorphic,flies,Monimiaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Nectandra megapotamica (Spreng.) Mez,greenish,actinomorphic,flies,Lauraceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Notylia lyrata S.Moore,greenish,zygomorphic,bees,Orchidaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Ouratea parviflora (DC.) Baill.,yellow,actinomorphic,bees,Ochnaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Oxypetalum alpinum (Vell.) Fontella & E.A.Schwarz,white,actinomorphic,bees,Apocynaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Philodendron appendiculatum Nadruz & Mayo,greenish,spadix,beetles,Araceae beetle pollination.,obligate_outcrossing,likely_SI,inference,medium
Piper gaudichaudianum Kunth,greenish,spike,flies,Piperaceae insect pollination.,mixed_mating,likely_SC,inference,medium
Rhipsalis Gaertn.,white,actinomorphic,moths,Cactaceae nocturnal insect pollination.,obligate_outcrossing,likely_SI,inference,low
Salvia splendens Sellow ex Schult.,red,tubular,birds,Lamiaceae hummingbird pollination.,obligate_outcrossing,likely_SI,inference,high
Schlegelia parviflora (Oerst.) Monach.,yellow,tubular,bees,Schlegeliaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Schwartzia brasiliensis (Choisy) Bedell ex Gir.-Cañas,red,actinomorphic,birds,Marcgraviaceae bird pollination.,obligate_outcrossing,likely_SI,inference,high
Serpocaulon vacillans (Link) A.R.Sm.,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Tanaecium pyramidatum (Rich.) L.G.Lohmann,yellow,tubular,bees,Bignoniaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Urera nitida (Vell.) P.Brack,greenish,actinomorphic,wind,Urticaceae wind/insect pollination.,mixed_mating,likely_SC,inference,medium
Wittrockia superba Lindm.,red,tubular,birds,Bromeliaceae hummingbird pollination.,obligate_outcrossing,likely_SI,inference,high
Acisanthera alsinaefolia (Mart. & Schrank ex DC.) Triana,purple,actinomorphic,bees,Melastomataceae buzz pollination.,obligate_outcrossing,likely_SI,inference,high
Acisanthera alsinefolia (DC.) Triana,purple,actinomorphic,bees,Melastomataceae buzz pollination.,obligate_outcrossing,likely_SI,inference,high
Adenocalymma marginatum (Cham.) DC.,yellow,tubular,bees,Bignoniaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Aegiphila australis Moldenke,white,tubular,bees,Lamiaceae bee pollination.,mixed_mating,likely_SC,inference,medium
Aeschynomene falcata (Poir.) DC.,yellow,papilionaceous,bees,Fabaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Aspidosperma olivaceum Müll.Arg.,greenish,actinomorphic,flies,Apocynaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Asplenium brasiliense Sw.,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Baccharis gnaphalioides Spreng.,white,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Begonia hammoniae Irmsch.,pink,zygomorphic,flies,"Begoniaceae; fly-pollinated, frequent autogamy.",mixed_mating,likely_SC,inference,high
Begonia scharffii Hook.fil.,pink,zygomorphic,flies,Begonia with generalized fly pollination.,mixed_mating,likely_SC,inference,high
Begonia subvillosa Klotzsch,pink,zygomorphic,flies,Begoniaceae fly pollination.,mixed_mating,likely_SC,inference,high
Butia catarinensis Noblick & Lorenzi,cream,actinomorphic,beetles,Arecaceae beetle/insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Cabralea canjerana (Vell.) Mart.,white,actinomorphic,bees,Meliaceae insect-pollinated.,obligate_outcrossing,likely_SI,inference,medium
Calea uniflora Less.,yellow,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Callianthe rufinerva (A.St.-Hil.) Donnell,red,actinomorphic,bees,Malvaceae bee pollination.,mixed_mating,likely_SC,inference,medium
Chascolytrum erectum (Lam.) Desv.,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Cybistax antisyphilitica (Mart.) Mart.,yellow,tubular,bees,Bignoniaceae bee pollination.,obligate_outcrossing,likely_SI,inference,high
Diodia radula (Willd.) Cham. & Schltdl.,white,actinomorphic,flies,Rubiaceae small generalist flowers.,mixed_mating,likely_SC,inference,medium
Doliocarpus glomeratus Eichler,white,actinomorphic,bees,Dilleniaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Eleocharis laeviglumis R.Trevis. & Boldrini,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Epidendrum avicula Lindl.,greenish,zygomorphic,bees,Epidendrum bee/generalist pollination.,obligate_outcrossing,likely_SI,inference,medium
Escobedia grandiflora (L.fil.) Kuntze,yellow,tubular,bees,Orobanchaceae bee pollination.,mixed_mating,likely_SC,inference,medium
Eugenia pluriflora DC.,white,actinomorphic,bees,Myrtaceae insect pollination.,obligate_outcrossing,likely_SI,inference,high
Eustachys retusa (Lag.) Kunth,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Faramea montevidensis (Cham. & Schltdl.) DC.,white,actinomorphic,bees,Rubiaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Gaylussacia brasiliensis var. brasiliensis,white,urceolate,bees,Ericaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Gomesa cornigera (Lindl.) M.W.Chase & N.H.Williams,yellow,zygomorphic,bees,Oncidiinae orchid.,obligate_outcrossing,likely_SI,inference,high
Handroanthus pulcherrimus (Sandwith) S.O.Grose,yellow,tubular,bees,Bignoniaceae bee pollination.,obligate_outcrossing,likely_SI,inference,high
Hemionitis tomentosa (Lam.) Raddi,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Machaerium hirtum (Vell.) Stellfeld,purple,papilionaceous,bees,Fabaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Notylia Lindl.,greenish,zygomorphic,bees,Orchidaceae bee pollination.,obligate_outcrossing,likely_SI,inference,low
Ocotea pulchella Mart.,greenish,actinomorphic,flies,Lauraceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Oxypetalum pachyglossum Decne.,white,actinomorphic,bees,Apocynaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Panicum racemosum (P.Beauv.) Spreng.,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Parablechnum C.Presl,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Paspalum hyalinum Nees ex Trin.,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Persea willdenovii Kosterm.,greenish,actinomorphic,flies,Lauraceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Philodendron martianum Engl.,greenish,spadix,beetles,Araceae beetle pollination.,obligate_outcrossing,likely_SI,inference,medium
Phlegmariurus mandiocanus (Raddi) B.Øllg.,none,none,unknown,Lycophyte; spore reproduction.,mainly_selfing,likely_SC,inference,high
Piper corcovadensis (Miq.) C.DC.,greenish,spike,flies,Piperaceae insect pollination.,mixed_mating,likely_SC,inference,medium
Pleroma granulosum (Desr.) D.Don,purple,actinomorphic,bees,Melastomataceae buzz pollination.,obligate_outcrossing,likely_SI,inference,high
Pleroma trichopodum DC.,purple,actinomorphic,bees,Melastomataceae buzz pollination.,obligate_outcrossing,likely_SI,inference,high
Porophyllum obscurum (Spreng.) DC.,yellow,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Praxelis Cass.,purple,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,low
Praxelis pauciflora (Kunth) R.M.King & H.Rob.,purple,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Psychotria suterella Müll.Arg.,white,actinomorphic,bees,Rubiaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Rhynchospora barrosiana Guagl.,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Schizachyrium Nees,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,low
Seemannia sylvatica (Kunth) Baill.,red,tubular,birds,Gesneriaceae hummingbird pollination.,obligate_outcrossing,likely_SI,inference,high
Sinningia leopoldii (Scheidw. ex Planch.) Chautems,red,tubular,birds,Gesneriaceae hummingbird pollination.,obligate_outcrossing,likely_SI,inference,high
Smilax rufescens Griseb.,greenish,actinomorphic,flies,Smilacaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Spartina ciliata Brongn.,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Spirotheca rivieri (Decne.) Ulbr.,white,actinomorphic,beetles,Malvaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Stelis deregularis Barb.Rodr.,greenish,zygomorphic,flies,Pleurothallidinae orchid.,obligate_outcrossing,likely_SI,inference,medium
Trichilia catigua A.Juss.,white,actinomorphic,bees,Meliaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Trixis praestans (Vell.) Cabrera,yellow,capitulum,bees,Asteraceae bee pollination.,mixed_mating,likely_SC,inference,medium
Acianthera pubescens (Lindl.) Pridgeon & M.W.Chase,greenish,zygomorphic,flies,Pleurothallidinae orchid.,obligate_outcrossing,likely_SI,inference,high
Aechmea kertesziae Reitz,red,tubular,birds,Bromeliaceae hummingbird pollination.,obligate_outcrossing,likely_SI,inference,high
Aniba firmula (Nees & Mart.) Mez,greenish,actinomorphic,flies,Lauraceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Annona cacans Warm.,greenish,actinomorphic,beetles,Annonaceae beetle pollination.,obligate_outcrossing,likely_SI,inference,high
Aristolochia robertii Ahumada,brownish,tubular,flies,"Trap flowers, fly pollination.",obligate_outcrossing,likely_SI,inference,high
Asplenium pteropus Kaulf.,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Baccharis singularis (Vell.) G.M.Barroso,white,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Bathysa australis (A.St.-Hil.) K.Schum.,white,actinomorphic,bees,Rubiaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Byrsonima ligustrifolia A.Juss.,yellow,actinomorphic,bees,Malpighiaceae oil-bee pollination.,obligate_outcrossing,likely_SI,inference,high
Campylocentrum crassirhizum Hoehne,greenish,zygomorphic,flies,Leafless orchid.,obligate_outcrossing,likely_SI,inference,medium
Cattleya purpurata (Lindl. & Paxton) Rollisson ex Lindl.,pink,zygomorphic,bees,Large bee-pollinated orchid.,obligate_outcrossing,likely_SI,inference,high
"Chascolytrum uniolae (Nees) Essi, Longhi-Wagner & Souza-Chies",none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Cleistes montana Gardner,pink,zygomorphic,bees,Terrestrial orchid.,obligate_outcrossing,likely_SI,inference,high
Coccoloba warmingii Meisn.,white,actinomorphic,flies,Polygonaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Coutarea hexandra (Jacq.) K.Schum.,white,actinomorphic,bees,Rubiaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Dahlstedtia pinnata (Benth.) Malme,purple,papilionaceous,bees,Fabaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Elleanthus brasiliensis (Lindl.) Rchb.f.,red,zygomorphic,birds,Orchidaceae hummingbird pollination.,obligate_outcrossing,likely_SI,inference,high
Epidendrum tridactylum Lindl.,greenish,zygomorphic,bees,Epidendrum generalist.,obligate_outcrossing,likely_SI,inference,medium
Eragrostis trichocolea Arechav.,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Eugenia kleinii D.Legrand,white,actinomorphic,bees,Myrtaceae insect pollination.,obligate_outcrossing,likely_SI,inference,high
Eumachia astrellantha (Wernham) Delprete & J.H.Kirkbr.,white,actinomorphic,bees,Rubiaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Geonoma gamiova Barb.Rodr.,cream,actinomorphic,beetles,Arecaceae beetle pollination.,obligate_outcrossing,likely_SI,inference,medium
Heteropterys aenea Griseb.,yellow,actinomorphic,bees,Malpighiaceae oil-bee pollination.,obligate_outcrossing,likely_SI,inference,high
Hygrophila costata Nees,purple,tubular,bees,Acanthaceae bee pollination.,mixed_mating,likely_SC,inference,medium
Lagenocarpus rigidus (Kunth) Nees,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Leandra variabilis Raddi,white,actinomorphic,bees,Melastomataceae buzz pollination.,obligate_outcrossing,likely_SI,inference,high
Lithrea brasiliensis Marchand,greenish,actinomorphic,flies,Anacardiaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Malaxis excavata (Lindl.) Kuntze,greenish,zygomorphic,flies,"Small orchid, fly pollination.",obligate_outcrossing,likely_SI,inference,medium
Miconia cinnamomifolia (DC.) Naudin,white,actinomorphic,bees,Melastomataceae buzz pollination.,obligate_outcrossing,likely_SI,inference,high
Miconia formosa Cogn.,white,actinomorphic,bees,Melastomataceae buzz pollination.,obligate_outcrossing,likely_SI,inference,high
Myrcia hartwegiana (O.Berg) Kiaersk.,white,actinomorphic,bees,Myrtaceae insect pollination.,obligate_outcrossing,likely_SI,inference,high
Nothoscordum Kunth,white,actinomorphic,bees,Amaryllidaceae bee pollination.,mixed_mating,likely_SC,inference,low
Ocotea catharinensis Mez,greenish,actinomorphic,flies,Lauraceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Octomeria crassifolia Lindl.,greenish,zygomorphic,flies,Pleurothallidinae orchid.,obligate_outcrossing,likely_SI,inference,medium
Olyra humilis Nees,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Pabstiella fusca (Lindl.) Chiron & Xim.Bols.,greenish,zygomorphic,flies,Pleurothallidinae orchid.,obligate_outcrossing,likely_SI,inference,medium
Parodiolyra micrantha (Kunth) Davidse & Zuloaga,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Paspalum inaequivalve Raddi,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Pavonia nemoralis A.St.-Hil. & Naudin,red,actinomorphic,bees,Malvaceae bee pollination.,mixed_mating,likely_SC,inference,medium
Pecluma robusta (Fée) M.Kessler & A.R.Sm.,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Peplonia axillaris (Vell.) Fontella & Rapini,white,actinomorphic,bees,Apocynaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Phlegmariurus heterocarpon (Fée) B.Øllg.,none,none,unknown,Lycophyte; spore reproduction.,mainly_selfing,likely_SC,inference,high
Piper cernuum Vell.,greenish,spike,flies,Piperaceae insect pollination.,mixed_mating,likely_SC,inference,medium
Piptadenia gonoacantha (Mart.) J.F.Macbr.,white,actinomorphic,bees,Fabaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Plantago myosuros Lam.,greenish,reduced,wind,Plantaginaceae wind pollination.,mixed_mating,likely_SC,inference,medium
Polystachya caespitosa Barb.Rodr.,greenish,zygomorphic,flies,Orchidaceae fly pollination.,obligate_outcrossing,likely_SI,inference,medium
Psychotria nuda (Cham. & Schltdl.) Wawra,white,actinomorphic,bees,Rubiaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Randia ferox (Cham. & Schltdl.) DC.,white,actinomorphic,bees,Rubiaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Rhynchanthera DC.,purple,actinomorphic,bees,Melastomataceae buzz pollination.,obligate_outcrossing,likely_SI,inference,low
Sauroglossum elatum Lindl.,greenish,zygomorphic,flies,Terrestrial orchid.,obligate_outcrossing,likely_SI,inference,medium
Scleria panicoides Kunth,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Serpocaulon menisciifolium (Langsd. & Fisch.) A.R.Sm.,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Sesbania virgata (Cav.) Poir.,yellow,papilionaceous,bees,"Fabaceae, large bee-pollinated flowers.",mixed_mating,likely_SC,inference,high
Steinchisma hians (Elliott) Nash,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Stelis intermedia Poepp. & Endl.,greenish,zygomorphic,flies,"Pleurothallidinae orchid, fly pollination.",obligate_outcrossing,likely_SI,inference,medium
Stigmatopteris heterocarpa (Fée) Rosenst.,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Trichilia lepidota Mart.,white,actinomorphic,bees,Meliaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Trichocentrum pumilum (Lindl.) M.W.Chase & N.H.Williams,yellow,zygomorphic,bees,"Oncidiinae orchid, bee pollination.",obligate_outcrossing,likely_SI,inference,high
Vantanea compacta (Schnizl.) Cuatrec.,white,actinomorphic,bees,Humiriaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Vriesea platzmannii É.Morren,red,tubular,birds,Bromeliaceae hummingbird pollination.,obligate_outcrossing,likely_SI,inference,high
